16,21972,8195,6492,14687,28464
15,20601,7649,6264,13913,26865
14,19559,6754,5515,12269,25074
13,17773,6990,5510,12500,23283
12,16292,6171,5188,11359,21480
11,14606,5857,5084,10941,19690
10,13458,5827,4442,10269,17900
9,12139,5108,3962,9070,16101
8,10516,4798,3788,8586,14304
7,9364,4432,3152,7584,12516
6,7940,3764,2782,6546,10722
5,6146,3153,2784,5937,8930
4,5008,2695,2132,4827,7140
3,3817,1940,1538,3478,5355
2,2511,1295,1057,2352,3568
